run,test_size,train_size,normalize,accuracy,confusion_matrix
1,0.1,0.9,False,0.6163265306122448,"[[  0   1   0   3   0   0   0]
 [  0   8   5   1   0   0   0]
 [  0   6 100  32   4   1   1]
 [  0   2  43 135  27  10   0]
 [  1   0   8  30  49   4   0]
 [  0   0   2   3   4  10   0]
 [  0   0   0   0   0   0   0]]"
2,0.1,0.9,False,0.610204081632653,"[[  0   0   0   2   0   0]
 [  0   3   8   2   0   1]
 [  1  10  96  35  13   2]
 [  0   4  42 137  28   1]
 [  0   1   5  21  55   5]
 [  0   0   1   6   3   8]]"
3,0.1,0.9,False,0.5653061224489796,"[[  0   1   1   1   0   0]
 [  0   5   1   3   3   0]
 [  0   6  89  37   8   1]
 [  1   9  45 126  30   5]
 [  0   2  13  27  50   7]
 [  0   0   1   7   4   7]]"
4,0.1,0.9,False,0.6408163265306123,"[[  0   0   0   1   0   0   0]
 [  0   3   4   3   0   1   0]
 [  1   9 105  36   5   4   0]
 [  0   4  35 145  28   9   2]
 [  0   2   1  20  49   3   0]
 [  0   0   2   3   3  12   0]
 [  0   0   0   0   0   0   0]]"
5,0.1,0.9,False,0.6244897959183674,"[[  0   1   0   0   0   0   0]
 [  0   4   6   3   0   0   0]
 [  2   6  90  36   7   4   0]
 [  0   5  30 145  27   5   0]
 [  0   0   7  28  57   9   0]
 [  0   1   0   3   3  10   0]
 [  0   0   0   0   0   1   0]]"
6,0.1,0.9,False,0.6408163265306123,"[[  0   0   0   0   1   0]
 [  0   4   4   5   0   0]
 [  0   5  99  37   6   1]
 [  0   4  38 158  23   3]
 [  1   1   7  23  47   2]
 [  0   1   2   4   8   6]]"
7,0.1,0.9,False,0.6387755102040816,"[[  0   0   1   0   0   0   0]
 [  0   5  10   3   1   0   0]
 [  2   1 101  42   6   0   0]
 [  1   5  38 144  28   5   0]
 [  0   1   6  15  58   2   0]
 [  0   0   0   6   3   5   1]
 [  0   0   0   0   0   0   0]]"
8,0.1,0.9,False,0.6204081632653061,"[[  0   0   1   1   0   0   0]
 [  0   2   8   6   0   0   0]
 [  1   2  91  37   5   2   0]
 [  0   5  37 155  30   7   0]
 [  0   2   3  17  49   9   0]
 [  0   1   0   6   4   7   0]
 [  0   0   0   1   1   0   0]]"
9,0.1,0.9,False,0.6142857142857143,"[[  0   0   1   0   0   0   0]
 [  0   4   7   1   2   0   0]
 [  1   4 100  35   7   3   1]
 [  0   5  45 139  30   5   0]
 [  0   0   7  24  47   7   0]
 [  0   0   1   3   0  11   0]
 [  0   0   0   0   0   0   0]]"
10,0.1,0.9,False,0.6346938775510204,"[[  0   0   1   2   0   0]
 [  0   6   6   5   2   0]
 [  0   7 104  41   7   1]
 [  0   4  43 143  22   4]
 [  0   0   6  20  46   4]
 [  0   0   0   1   3  12]]"
11,0.1,0.9,False,0.573469387755102,"[[  0   0   0   1   0   0   0]
 [  0   5   6   8   0   1   0]
 [  1   5  87  42   8   4   0]
 [  1   0  39 126  33   6   0]
 [  0   0   5  32  55   1   1]
 [  0   1   3   4   5   8   1]
 [  0   0   0   0   1   0   0]]"
12,0.1,0.9,False,0.5897959183673469,"[[  0   0   0   0   0   0]
 [  0   9   9   5   0   0]
 [  1   6  81  48   2   2]
 [  0   3  33 141  37   6]
 [  1   2   7  26  48   1]
 [  0   0   1   5   6  10]]"
13,0.1,0.9,False,0.6142857142857143,"[[  6   6   2   2   0   0]
 [  4  98  38   2   0   0]
 [  6  41 142  25   8   0]
 [  0   3  40  51   4   0]
 [  0   2   3   1   4   1]
 [  0   0   1   0   0   0]]"
14,0.1,0.9,False,0.6448979591836734,"[[  0   1   3   0   0   0   0]
 [  0   4   8   4   2   0   0]
 [  4   3  78  34   2   0   0]
 [  2   0  45 170  16   3   0]
 [  0   2   8  26  54   2   0]
 [  0   1   1   2   3  10   1]
 [  0   0   0   1   0   0   0]]"
15,0.1,0.9,False,0.6387755102040816,"[[  0   0   0   0   0   0   0]
 [  0   2   4   2   0   1   0]
 [  3   7  95  35   4   1   0]
 [  0   2  39 155  29   3   0]
 [  0   2   3  29  50   2   1]
 [  0   0   2   4   4  11   0]
 [  0   0   0   0   0   0   0]]"
16,0.1,0.9,False,0.5959183673469388,"[[  0   0   1   0   2   0]
 [  0   1  10   3   2   0]
 [  0   6  91  42   7   1]
 [  0   3  37 150  25   9]
 [  0   0   3  28  40  11]
 [  0   0   0   4   4  10]]"
17,0.1,0.9,False,0.6469387755102041,"[[  0   1   1   0   0   0   0]
 [  0   5   4   5   1   0   0]
 [  0   5 108  27   8   1   0]
 [  0   2  46 151  27   2   1]
 [  0   0   8  19  46   4   0]
 [  0   0   4   2   4   7   1]
 [  0   0   0   0   0   0   0]]"
